"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 7"
"https://www.google.fr/maps/place/Pressing+S.o.p.r.e.s.s/data=!4m7!3m6!1s0x12c9c0a48c087869:0xa805d82c450f545f!8m2!3d43.2936545!4d5.3857305!16s%2Fg%2F1vh7jr48!19sChIJaXgIjKTAyRIRX1QPRSzYBag?authuser=0&hl=fr&rclk=1","Pressing S.o.p.r.e.s.s","3,9","(30)","Pressing","·","14 Rue Saint-Michel","Fermé","· Ouvre à 07:30 sam.","·","04 91 42 15 02","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ce","pressing","est une véritable pépite à Marseille.""","",""
"https://www.google.fr/maps/place/Pressing+Liberation/data=!4m7!3m6!1s0x12c9bf6195910055:0x426e097e7ec18c1d!8m2!3d43.3026011!4d5.3954793!16s%2Fg%2F11bccmg461!19sChIJVQCRlWG_yRIRHYzBfn4JbkI?authuser=0&hl=fr&rclk=1","Pressing Liberation","2,5","(96)","Blanchisserie","·","·","Ferme bientôt","· 19:00 · Ouvre à 08:00 sam.","223 Bd de la Libération","04 91 62 12 94","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Je recommande fortement ce","pressing","digne de Marseille""","","·"
"https://www.google.fr/maps/place/Pressing+Vitalis/data=!4m7!3m6!1s0x12c9c0a70b56b627:0x1641fa507ef9749f!8m2!3d43.292304!4d5.3925741!16s%2Fg%2F1tg12yhj!19sChIJJ7ZWC6fAyRIRn3T5flD6QRY?authuser=0&hl=fr&rclk=1","Pressing Vitalis","3,5","(37)","Pressing","·","·","Ferme bientôt","· 19:00 · Ouvre à 08:30 sam.","3 Rue Vitalis","06 52 66 54 37","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Pressing","efficace, travail de qualité.""","","·"
"https://www.google.fr/maps/place/Net%27+Sec/data=!4m7!3m6!1s0x12c9c097fccbab33:0x9b9739f47f454b58!8m2!3d43.2997516!4d5.3828422!16s%2Fg%2F11bzz43lj5!19sChIJM6vL_JfAyRIRWEtFf_Q5l5s?authuser=0&hl=fr&rclk=1","Net' Sec","4,8","(9)","Service de blanchisserie","·","12 Rue Lemaître","","","","04 91 62 19 85","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Efficace et travail de qualité""","","","",""
"https://www.google.fr/maps/place/Overt+pressing+-+mindial+relay/data=!4m7!3m6!1s0x12c9c7741661e19b:0x7278d39e2e7547a3!8m2!3d43.2633538!4d5.3743464!16s%2Fg%2F11h7d7kyym!19sChIJm-FhFnTHyRIRo0d1Lp7TeHI?authuser=0&hl=fr&rclk=1","Overt pressing - mindial relay","4,5","(16)","Pressing","·","85 Prom. Georges Pompidou","Ferme bientôt","· 19:00 · Ouvre à 09:00 sam.","·","09 73 39 57 83","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent","pressing","!""","",""
"https://www.google.fr/maps/place/Laverie+Revolution+Laundry/data=!4m7!3m6!1s0x12c9c1afa497eec7:0x8c9f8b5ef1ed2a80!8m2!3d43.3020499!4d5.3781675!16s%2Fg%2F11vx3kybs_!19sChIJx-6XpK_ByRIRgCrt8V6Ln4w?authuser=0&hl=fr&rclk=1","Laverie Revolution Laundry","1,0","(2)","Laverie automatique","·","VILOGIA RESIDENCE NEDELEC, 83 Rue Longue des Capucins","Ferme bientôt","· 19:00 · Ouvre à 08:30 sam.","·","09 70 82 32 47","https://stores.revolution-laundry.com/fr-fr","","Site Web","","Itinéraires","","","","","",""
"https://www.google.fr/maps/place/Pressing+5%C3%A0sec+Marseille+Negresko/data=!4m7!3m6!1s0x12c9c759f53fb23b:0xd6b7d43591289a00!8m2!3d43.2693102!4d5.3889074!16s%2Fg%2F1ptwx6hb7!19sChIJO7I_9VnHyRIRAJookTXUt9Y?authuser=0&hl=fr&rclk=1","Pressing 5àsec Marseille Negresko","4,4","(251)","Pressing","·","·","Ferme bientôt","· 19:00 · Ouvre à 09:00 sam.","48 Rue Negresko","04 91 76 52 66","https://www.5asec.fr/fr/pressing/marseille-negresko/","","Site Web","","Itinéraires","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Pressing","bon pour les chemises seulement, n’apportez rien de délicat…""","","·"
"https://www.google.fr/maps/place/PRESSING+Du+Rouet+109+C/data=!4m7!3m6!1s0x12c9c17831fa57c1:0x8971ea013844ff91!8m2!3d43.2802688!4d5.3902537!16s%2Fg%2F11t3v5n9h4!19sChIJwVf6MXjByRIRkf9EOAHqcYk?authuser=0&hl=fr&rclk=1","PRESSING Du Rouet 109 C","4,0","(46)","Pressing","·","109 Rue du Rouet","Ferme bientôt","· 19:00 · Ouvre à 08:00 lun.","·","09 80 33 40 51","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Pressing","au top
Service rapide et efficace
Je recommande +++""","",""
"https://www.google.fr/maps/place/Claire+Pressing/data=!4m7!3m6!1s0x12c9bf5b7e8452df:0x9907a9b61772c171!8m2!3d43.2936608!4d5.4024202!16s%2Fg%2F1tdjlhqb!19sChIJ31KEflu_yRIRccFyF7apB5k?authuser=0&hl=fr&rclk=1","Claire Pressing","4,5","(25)","Pressing","·","53 Bd Jeanne d'Arc","Ferme bientôt","· 19:00 · Ouvre à 08:30 sam.","·","04 91 42 95 13","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Je ne me lasse plus de ce","pressing","surtout pour mes manteaux !!""","",""
"https://www.google.fr/maps/place/Pressing+%C3%A9cologique+Saint-Just/data=!4m7!3m6!1s0x12c9bf0036e3ae8f:0xf762f6211c991c3f!8m2!3d43.3138558!4d5.4028587!16s%2Fg%2F11xtwwz79p!19sChIJj67jNgC_yRIRPxyZHCH2Yvc?authuser=0&hl=fr&rclk=1","Pressing écologique Saint-Just","3,7","(3)","Pressing","·","38 Av. de Saint-Just","Ferme bientôt","· 19:00 · Ouvre à 09:00 sam.","·","07 51 31 11 87","","","Itinéraires","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Travail soigné et rapide.""","","","",""
